time,open,high,low,close,Basis,Upper StdDev 1.0,Lower StdDev 1.0,Upper StdDev 1.618,Lower StdDev 1.618,Upper StdDev 2.618,Lower StdDev 2.618,Upper StdDev 3.618,Lower StdDev 3.618,Volume,Volume MA,Green Line,Red RSI,LSMA,Energy,Pressure,K,D
1610968320,35930.24,37469.83,35821.93,36989.31,35645.44299999999,36247.631293569335,35043.25470643065,36619.78365899519,34671.10234100479,37221.97195256454,34068.91404743544,37824.160246133884,33466.7257538661,9512.461852,5497.996599350013,79.18525773697125,49.376843772628156,49.08655024058624,97.47183624654804,NaN,NaN,NaN
1610974080,36989.31,37050,36705,36871.56,35730.66049999998,36378.04100895587,35083.279991044095,36778.12216349062,34683.19883650935,37425.502672446506,34035.81832755346,38072.883181402394,33388.43781859757,6080.005734,5527.5069725500125,82.94934568340604,59.95789317514332,56.25123763900946,96.72737063153673,NaN,NaN,NaN
1610979840,36871.57,36894.54,36047.89,36405.98,35812.91449999999,36435.904751003705,35189.92424899628,36820.912726124,34804.916273875984,37443.90297712771,34181.92602287227,38066.89322813143,33558.93577186856,4758.608142,5408.564243250013,70.55488447386706,69.31791411876621,60.99550028684381,74.60065567086922,NaN,NaN,NaN
1610985600,36405.99,36565,35518.56,35624.35,35857.42199999999,36431.64540181938,35283.1985981806,36786.51546414377,34928.32853585621,37360.73886596317,34354.105134036814,37934.96226778256,33779.88173221742,4983.526524,5245.7401235000125,44.723964830871296,69.02552257395458,61.89173803964969,37.99877009235133,NaN,NaN,NaN
1610991360,35624.35,35889.99,35400,35828.73,35907.46399999999,36431.174481110516,35383.75351888947,36754.827558436824,35060.10044156316,37278.53803954735,34536.38996045264,37802.24852065787,34012.679479342114,3953.234476,4980.891132250013,24.613065680338583,61.21031535191094,60.52335312327414,7.402135374603308,NaN,NaN,NaN
1610997120,35826.97,36400,35748.89,36200.02,35952.46499999999,36460.47720764464,35444.45279235534,36774.428751969026,35130.50124803095,37282.440959613676,34622.4890403863,37790.45316725832,34114.47683274166,3655.291403,4853.476379450012,43.95607324736587,57.663765275470645,61.32960804276286,14.99337565919688,NaN,NaN,NaN
1611002880,36200.01,36432.87,35960,36176.59,36017.886999999995,36462.3203637921,35573.45363620789,36736.98018261563,35298.79381738436,37181.41354640774,34854.36045359225,37625.84691019985,34409.92708980014,2330.484213,4700.775070900013,56.86993206388296,53.94454432995593,62.70790565803969,35.422075563525475,NaN,NaN,NaN
1611008640,36176.6,36777.77,36170,36631.27,36063.02699999999,36521.401541714644,35604.65245828533,36804.677008494305,35321.37699150567,37263.05155020897,34863.002449791005,37721.426091923626,34404.62790807635,3153.118776,4569.231442100014,79.79018822065956,53.41801808616486,65.62171013909722,69.08320791625744,NaN,NaN,NaN
1611014400,36622.46,37000,36364.43,36989.75,36121.59399999999,36618.2085679548,35624.97943204518,36925.116370950884,35318.0716290491,37421.7309389057,34821.45706109428,37918.34550686051,34324.84249313947,5941.339629,4626.141468300013,86.66900893166492,56.10370549579783,68.46271410172076,90.10690739399581,NaN,NaN,NaN
1611020160,36992.5,37280,36579.94,36708.32,36157.70949999998,36669.192558044066,35646.2264419559,36985.289087915306,35330.12991208466,37496.77214595939,34818.64685404058,38008.255204003464,34307.1637959965,7364.655625,4848.1565778500135,89.50063121043873,63.56648322572574,71.85391769394853,95.98760168171088,NaN,NaN,NaN
1611025920,36708.31,36745.6,36366.24,36450.65,36179.548999999985,36693.74159796336,35665.35640203661,37011.51262350472,35347.58537649525,37525.70522146809,34833.39277853188,38039.89781943146,34319.20018056851,3651.900568,4883.7482545500125,67.79953577651013,70.76422824175432,72.90053536536355,70.02910837561124,NaN,NaN,NaN
1611031680,36450.64,36538.46,36002.01,36488.3,36182.353999999985,36698.06796372915,35666.64003627082,37016.77919331377,35347.9288066862,37532.49315704293,34832.21484295704,38048.207120772095,34316.500879227875,4131.759488,4835.012509050012,49.94832181929018,71.76293633707503,73.55779468606218,38.19993967002077,NaN,NaN,NaN
1611037440,36488.29,37233.87,36455.01,37168.82,36249.36449999998,36800.60809665781,35698.120903342155,37141.276639392345,35357.45236060762,37692.520236050164,34806.2087639498,38243.76383270799,34254.96516729197,5541.959484,4866.486677200012,64.30788978119752,73.00259595662747,74.8850098620494,35.40526365958043,NaN,NaN,NaN
1611043200,37167.92,37535.27,36897.07,37237.77,36316.260999999984,36901.1825878734,35731.33941212657,37262.664129179175,35369.85787082079,37847.58571705259,34784.936282947376,38432.50730492601,34200.01469507396,7533.706414,4999.455613750013,81.8989805635826,73.35406134711464,76.54741242698036,51.247551046258174,NaN,NaN,NaN
1611048960,37237.77,37448.41,36750,37039.63,36380.46899999998,36970.76503159818,35790.172968401785,37335.567979125866,35425.3700208741,37925.86401072406,34835.07398927591,38516.160042322255,34244.77795767771,5208.793687,5067.564215350013,75.46646611968582,71.48697087845146,76.15929042533091,54.603270764363444,NaN,NaN,NaN
1611054720,37039.63,37449,36636.05,36782.71,36461.60499999998,36986.46478704482,35936.745212955146,37310.82813543852,35612.381864561445,37835.687922483354,35087.52207751661,38360.54770952819,34562.66229047177,5657.252971,5067.712075500012,59.53870190975413,66.49331599500402,73.34810090218964,45.34702129693183,NaN,NaN,NaN
1611060480,36782.72,37263.49,36610,37114.3,36555.04649999998,37017.75353838877,36092.33946161119,37303.70648811305,35806.386511886914,37766.41352650184,35343.67947349812,38229.12056489064,34880.972435109325,4502.759392,5113.594600000013,55.91678325357594,64.51285724118166,69.75799178646378,39.077436660860194,NaN,NaN,NaN
