time,open,high,low,close,Basis,Upper StdDev 1.0,Lower StdDev 1.0,Upper StdDev 1.618,Lower StdDev 1.618,Upper StdDev 2.618,Lower StdDev 2.618,Upper StdDev 3.618,Lower StdDev 3.618,Volume,Volume MA,Green Line,Red RSI,LSMA,Energy,Pressure,K,D
1609398000,125.57,128.68,125.57,128.48,126.42800000000025,127.10733496888986,125.74866503111065,127.52716397966364,125.32883602033687,128.20649894855325,124.64950105144726,128.88583391744285,123.97016608255765,22746.66408,9732.8050319999,78.6849065023451,41.04220456083203,48.75146456267366,95.580854460565,NaN,NaN,NaN
1609398720,128.44,128.96,127.9,128.68,126.52500000000025,127.36213499506198,125.68786500493852,127.87948442201012,125.17051557799037,128.71661941707185,124.33338058292864,129.55375441213357,123.49624558786692,23008.87223,10531.904339999901,90.54372880878299,51.895215935173134,53.56760234706206,111.43894010389235,NaN,NaN,NaN
1609399440,128.7,129.4,127.64,127.93,126.60050000000027,127.49114288575839,125.70985711424214,128.0415601891569,125.15943981084362,128.93220307491504,124.26879692508551,129.82284596067316,123.37815403932738,17566.34257,11162.622768999901,83.72613195630537,63.75460586622242,56.33668091864369,100.69099614202912,NaN,NaN,NaN
1609400160,127.93,128.45,127.4,127.79,126.63500000000026,127.55713068485777,125.71286931514275,128.1270074480997,125.14299255190082,129.0491381329572,124.22086186704331,129.97126881781472,123.2987311821858,10762.51488,11389.7892294999,66.04111759243654,68.97437271416453,56.32011068002119,72.41224294928656,NaN,NaN,NaN
1609400880,127.78,128.07,127.48,127.83,126.67650000000026,127.63218967241113,125.72081032758939,128.22280588996105,125.13019411003948,129.17849556237192,124.17450443762861,130.13418523478276,123.21881476521774,6078.70765,11243.447863999902,47.93336979099352,67.97051794164263,53.697378821502255,41.16897332399417,NaN,NaN,NaN
1609401600,127.84,127.97,125.21,126.45,126.64200000000025,127.59277652471883,125.69122347528167,128.18035641699493,125.10364358300558,129.1311329417135,124.152867058287,130.08190946643208,123.20209053356842,27488.82682,12169.464933499901,29.441341899161603,66.06176609167072,49.98991445253536,8.964062469487963,NaN,NaN,NaN
1609402320,126.45,126.73,125.79,126.24,126.58500000000026,127.52392225447821,125.64607774552232,128.10417620774558,125.06582379225495,129.04309846222353,124.12690153777699,129.98202071670147,123.18797928329904,11969.34819,12158.912614999901,22.56470868914946,56.708399789471436,46.61114585249208,-4.661659865577992,NaN,NaN,NaN
1609403040,126.25,126.4,125.77,126.12,126.58050000000028,127.5214222868796,125.63957771312097,128.10291226017102,125.05808773982956,129.04383454705032,124.11716545295025,129.98475683392965,123.17624316607093,9423.14148,11493.5981934999,17.961926469677294,44.61143273295382,43.07218205866221,-3.980336196065524,NaN,NaN,NaN
1609403760,126.15,126.54,126.15,126.36,126.59500000000025,127.53016041402323,125.65983958597728,128.10808954988943,125.0819104501111,129.0432499639124,124.14675003608812,129.97841037793535,123.21158962206515,6052.23067,11273.0142264999,30.735902634229223,35.77972784594113,41.66106450146017,17.966006690255327,NaN,NaN,NaN
1609404480,126.38,126.55,126.17,126.42,126.60400000000027,127.53656313456568,125.67143686543486,128.1128871517271,125.09511284827343,129.04545028629252,124.16254971370802,129.97801342085793,123.22998657914262,10336.84577,11359.489932999899,45.00271578325098,32.27332754441019,42.36288202265897,46.71239158396845,NaN,NaN,NaN
1609405200,126.43,126.53,125.98,126.12,126.60200000000027,127.53555556875237,125.66844443124818,128.11249291024117,125.09150708975938,129.04604847899327,124.15795152100726,129.97960404774537,123.22439595225516,9892.39055,11339.1293479999,40.4218570107594,31.021408747704513,42.09499117141923,57.75664405503912,NaN,NaN,NaN
1609405920,126.08,126.59,125.23,126.52,126.62300000000025,127.5497259573134,125.6962740426871,128.1224425989329,125.12355740106757,129.04916855624606,124.19683144375442,129.9758945135592,123.27010548644128,16174.19122,11829.9490949999,26.485305674785106,30.528736043641768,39.18947685096849,49.8348916586629,NaN,NaN,NaN
1609406640,126.52,126.81,125.94,126.39,126.64650000000024,127.56097949674081,125.73202050325968,128.12612782572648,125.166872174274,129.04060732246705,124.25239267753344,129.95508681920762,123.33791318079288,7262.74451,11677.600032999899,36.4903268109974,32.849672397283086,36.70941612732588,53.558100243045764,NaN,NaN,NaN
1609407360,126.38,126.63,125.9,126.28,126.64450000000025,127.55973480591281,125.72926519408769,128.12534991596678,125.16365008403373,129.04058472187933,124.24841527812117,129.95581952779187,123.33318047220861,7982.50796,11596.567464499898,33.21401644834384,35.391687393727516,35.43442852120983,49.601379176139204,NaN,NaN,NaN
1609408080,126.28,126.65,126.11,126.4,126.66450000000027,127.56974844653261,125.75925155346793,128.12919198648962,125.19980801351095,129.03444043302196,124.29455956697859,129.9396888795543,123.38931112044625,6107.95987,11528.271265499898,52.33360327932342,38.99130416790988,36.34919925057022,63.14298869948314,NaN,NaN,NaN
1609408800,126.39,127.2,126.23,127.12,126.73500000000027,127.61779386039487,125.85220613960567,128.16336046611875,125.3066395338818,129.04615432651335,124.42384567348721,129.92894818690795,123.5410518130926,11263.20558,11368.788989499899,68.36198658588188,42.88451596834836,40.374319532881074,82.04896496727508,NaN,NaN,NaN
1609409520,127.07,127.68,126.72,127.6,126.82500000000024,127.69959990850461,125.95040009149588,128.2401026519603,125.40989734804019,129.11470256046465,124.53529743953582,129.98930246896902,123.66069753103146,11660.8939,11599.681441499899,87.99080392141116,50.81267378679033,47.08158568229026,103.20261261825837,NaN,NaN,NaN
1609410240,127.56,127.92,127.24,127.44,126.88750000000024,127.75914714762058,126.01585285237991,128.29782508484996,125.47717491515054,129.1694722324703,124.60552776753019,130.04111938009063,123.73388061990985,7351.98522,11667.574778999899,92.51137808446987,61.81701918840446,55.1992626588667,107.2956652051946,NaN,NaN,NaN
