time,open,high,low,close,Basis,Upper StdDev 1.0,Lower StdDev 1.0,Upper StdDev 1.618,Lower StdDev 1.618,Upper StdDev 2.618,Lower StdDev 2.618,Upper StdDev 3.618,Lower StdDev 3.618,Volume,Volume MA,Green Line,Red RSI,LSMA,Energy,Pressure,K,D
1606451040,0.73742,0.7386199999999999,0.7368899999999999,0.73775,0.7340514999999964,0.7369883950865788,0.7311146049134141,0.7388033962500867,0.7292996037499061,0.7417402913366691,0.7263627086633238,0.7446771864232514,0.7234258135767414,37916,40165.5,87.25849206999523,77.81433659028482,80.86598669832155,53.695901608769844,NaN,NaN,NaN
1606474080,0.73775,0.73991,0.73639,0.73857,0.7344389999999965,0.7374346483437536,0.7314433516562394,0.7392859590201954,0.7295920409797976,0.7422816073639525,0.7265963926360405,0.7452772557077096,0.7236007442922834,43666,39108.8,93.52313435703756,78.69292453132401,84.59572689742032,66.67816063009847,NaN,NaN,NaN
1606497120,0.73857,0.73922,0.73765,0.73765,0.7348104999999965,0.7377193528236244,0.7319016471763685,0.7395170238686266,0.7301039761313664,0.7424258766922546,0.7271951233077384,0.7453347295158825,0.7242862704841104,21681,38990.15,83.64941071093051,78.0032950137397,86.0869284876326,63.985196012240046,NaN,NaN,NaN
1606687200,0.7383,0.74076,0.73824,0.73875,0.7351819999999964,0.7380957975220592,0.7322682024779337,0.7398965243906941,0.7304674756092988,0.7428103219127569,0.727553678087236,0.7457241194348196,0.7246398805651733,55136,40013.2,88.6273977807147,80.82426271705683,86.61810332558156,64.7957330697779,75.82426271705683,NaN,NaN
1606710240,0.73875,0.73944,0.73694,0.73815,0.7354284999999965,0.73837424824952,0.732482751750473,0.7401947206677255,0.7306622793322675,0.743140468917249,0.7277165310827439,0.7460862171667726,0.7247707828332204,52054,40600.5,59.56543724731838,80.34169530691617,85.34253576809982,36.62160847529116,75.34169530691617,NaN,NaN
1606733280,0.73815,0.73868,0.73474,0.73552,0.7358254999999965,0.7381579439434751,0.7334930560565178,0.7395993943005449,0.732051605699448,0.7419318382440236,0.7297191617559693,0.7442642821875023,0.7273867178124906,71620,40740.35,40.28182271002761,75.4842824793372,82.51301897634374,8.108344468335996,NaN,NaN,NaN
1606756320,0.73552,0.73582,0.73392,0.73412,0.7361004999999964,0.7378075866262757,0.7343934133737171,0.7388625661613163,0.7333384338386765,0.7405696527875957,0.7316313472123971,0.742276739413875,0.7299242605861178,28249,40997.85,19.563964456568097,64.20186121043268,77.32575965658098,-15.583724519696585,NaN,NaN,NaN
1606773600,0.73412,0.73715,0.73381,0.7369,0.7363839999999965,0.7376800108022051,0.7350879891977878,0.73848094547797,0.7342870545220229,0.7397769562801788,0.7329910437198142,0.7410729670823875,0.7316950329176055,52188,41205.85,39.23885792668585,55.154481805374054,73.09990823732647,1.292513861463508,NaN,NaN,NaN
1606796640,0.7369,0.73735,0.7346,0.7346199999999999,0.7363729999999965,0.7376829278604191,0.7350630721395739,0.7384924632781602,0.7342535367218328,0.7398023911385828,0.7329436088614102,0.7411123189990054,0.7316336810009876,48740,41031,37.48841022098185,47.46098172371594,67.0576857996337,15.673685427997663,NaN,NaN,NaN
1606819680,0.7346199999999999,0.73686,0.73416,0.73609,0.7364394999999965,0.7376986285674916,0.7351803714325014,0.7384767700222036,0.7344022299777894,0.7397358985896987,0.7331431014102943,0.7409950271571938,0.7318839728427992,64868,41410.7,48.72981070025833,40.8113838769732,61.945749198592594,40.75526953728396,NaN,NaN,NaN
1606842720,0.73609,0.73729,0.73552,0.7368399999999999,0.7364799999999965,0.737738332229402,0.735221667770591,0.7385159815471746,0.7344440184528184,0.7397743137765802,0.7331856862234127,0.7410326460059857,0.7319273539940072,24760,41511.2,56.417260404268,40.28668773646481,58.66938359996929,61.50820743644516,NaN,NaN,NaN
1606860000,0.7368399999999999,0.73896,0.73629,0.7382,0.7366029999999963,0.73790254261173,0.7353034573882626,0.7387056599457814,0.7345003400542113,0.740005202557515,0.7332007974424777,0.7413047451692487,0.731901254830744,51957,41482.5,79.29940396388349,46.78961794544079,58.78370987284225,88.26388973666528,NaN,NaN,NaN
1606883040,0.7382,0.73933,0.73641,0.73732,0.7367369999999963,0.7379633323365724,0.7355106676634202,0.7387212057205764,0.7347527942794162,0.7399475380571526,0.73352646194284,0.7411738703937287,0.7323001296062639,55739,41374.5,66.24785157124516,54.57026579788697,58.76349002902456,80.80953064169083,NaN,NaN,NaN
