time,open,high,low,close,Volume,Volume MA,Green Line,Red RSI,LSMA,Energy,Pressure,K,D
1608727680,0.1464,0.15286,0.14351,0.14546,84426581.89999998,35017344.88999991,46.77268866665648,11.233518600456124,26.610405374491908,92.00635410557636,16.233518600456122,NaN,NaN
1608733440,0.14545,0.14776,0.13839,0.1399,58840172.79999999,36965779.29999991,44.14635705273497,18.542491216235074,28.27238223725021,96.60704288928807,23.542491216235074,NaN,NaN
1608739200,0.13991,0.14344,0.1374,0.14025,60434906.79999998,38992218.809999906,31.32208824842017,23.870661161366325,27.230311447705006,80.75494853169788,NaN,NaN,NaN
1608744960,0.14034,0.14393,0.13988,0.14086,31160274.8,39704331.63499991,27.777565465547568,28.702222729529282,25.13427643079421,64.45281700186723,NaN,NaN,NaN
1608750720,0.14085,0.14347,0.13564,0.13597,30315757.4,40335792.199999906,24.12511672943975,33.37875842876148,22.906560651993125,47.97276680161188,NaN,NaN,NaN
1608756480,0.13595,0.13738,0.11077,0.11094,111080826.80000003,44780403.879999906,8.866209400161699,30.501670927159832,19.705829803560388,27.350921873807806,NaN,NaN,NaN
1608762240,0.1109,0.13296,0.11056,0.12661,141546677.59999993,50991044.6949999,23.91453792063213,26.691979136155776,19.225977887241232,35.89801972138026,NaN,NaN,NaN
1608768000,0.12679,0.13599,0.1228,0.13368,129771497.59999996,56468303.2499999,43.3327428515724,26.556376769295344,21.80863430137706,59.725375942967176,NaN,NaN,NaN
1608773760,0.13374,0.14145,0.12989,0.13115,95806826.60000002,60939040.88499989,59.644026045187836,31.276699735423293,26.51420057997315,83.23001428124813,NaN,NaN,NaN
1608779520,0.13122,0.13509,0.12906,0.13401,65126401.79999999,63401540.734999895,51.90501354590726,35.29794108214991,29.138192067813986,83.2220796043814,NaN,NaN,NaN
1608785280,0.13403,0.13835,0.13244,0.13268,39617205.29999999,63489530.50999989,53.92937238914914,40.265317025434804,30.87307082714716,80.27509516590504,NaN,NaN,NaN
1608791040,0.13269,0.13597,0.12811,0.13551,59176760,65749582.8549999,37.067262577075525,44.965492554920445,31.29751350855656,57.2393176051076,NaN,NaN,NaN
1608796800,0.13547,0.13993,0.13368,0.1382,42336062.9,66809413.29999991,59.61129250373562,50.91495165210436,33.82445574285664,62.31599965418506,NaN,NaN,NaN
1608802560,0.1382,0.142,0.13624,0.13787,50865073.69999998,68238595.6949999,66.29540848134127,54.742062590399165,36.81433446840072,67.71134571803464,NaN,NaN,NaN
1608808320,0.1378,0.162,0.13779,0.14915,144913721.2,74521131.4099999,91.85513129047929,60.110580131281075,41.93894342132518,90.60022401821553,NaN,NaN,NaN
1608814080,0.14908,0.15785,0.14795,0.15545,79602231.5,75088557.2399999,96.70111051219673,67.57659629232933,48.701158279125735,99.42462622897517,NaN,NaN,NaN
