time,open,high,low,close,Basis,Upper StdDev 1.0,Lower StdDev 1.0,Upper StdDev 1.618,Lower StdDev 1.618,Upper StdDev 2.618,Lower StdDev 2.618,Upper StdDev 3.618,Lower StdDev 3.618,Volume,Volume MA,Green Line,Red RSI,LSMA,Energy,Pressure,K,D
1611040320,36549.86,36700,36470.62,36566.73,36588.988000000114,36772.85491890309,36405.12108109714,36886.484674785126,36291.4913252151,37070.3515936881,36107.62440631213,37254.21851259108,35923.75748740915,986.53426,1271.7168812499933,64.93612192954795,48.00612963400609,44.11891706986384,93.54190539388426,NaN,NaN,NaN
1611041760,36566.73,37233.87,36530.81,37168.82,36615.865500000116,36839.036987640415,36392.69401235982,36976.95696700212,36254.77403299811,37200.12845464242,36031.60254535781,37423.29994228272,35808.43105771751,2356.861204,1331.5807396999933,82.93578791930037,56.68889146376031,45.37411825884261,98.0178491524822,NaN,NaN,NaN
1611043200,37167.92,37400,36897.07,37346.1,36652.34700000012,36926.45777328674,36378.236226713496,37095.858231177874,36208.83576882236,37369.969004464496,35934.72499553574,37644.07977775112,35660.61422224912,2302.137178,1373.3358407499934,91.0672196336509,68.50985291878469,48.14295300011505,96.5662912911073,NaN,NaN,NaN
1611044640,37346.09,37535.27,37191.48,37323.94,36691.95200000012,37000.811063387424,36383.09293661282,37191.68596456078,36192.218035439466,37500.54502794808,35883.35897205216,37809.40409133538,35574.49990866486,2459.862782,1457.7708330499934,99.6037370327,78.33226156648887,51.87608195218726,94.55462111176479,NaN,NaN,NaN
1611046080,37323.95,37378.57,36997.3,37300.14,36713.10900000012,37047.36757721155,36378.85042278869,37253.93937792821,36172.27862207203,37588.19795513964,35838.0200448606,37922.456532351076,35503.761467649165,1552.207234,1487.0089419499934,82.08611819678602,82.39417065005034,53.26209554425215,71.96925810261807,77.39417065005034,NaN,NaN
1611047520,37300.14,37400,37149.23,37237.77,36725.51000000012,37074.09565337751,36376.92434662273,37289.521587164745,36161.49841283549,37638.10724054214,35812.9127594581,37986.692893919535,35464.3271060807,1219.49922,1411.1990789499937,80.29237067635175,83.48689256472322,55.338971682595684,57.790107162937566,78.48689256472322,NaN,NaN
1611048960,37237.77,37448.41,37000.08,37040.04,36731.390000000116,37084.21399031403,36378.566009686205,37302.25921632803,36160.520783672204,37655.08320664194,35807.69679335829,38007.90719695585,35454.87280304438,1429.283036,1307.8067391999934,56.884751684688545,82.14499752391332,53.750377622516154,28.63480774224401,77.14499752391332,NaN,NaN
1611050400,37040.05,37299.51,37038.72,37176.3,36754.54750000012,37120.374110376586,36388.72088962365,37346.45495558925,36162.64004441098,37712.28156596572,35796.81343403451,38078.10817634219,35430.986823658044,1151.537396,1294.8569717499936,66.81717635100892,79.45856226253142,54.06480063275665,26.676017959599513,NaN,NaN,NaN
1611051840,37176.3,37197.77,36750,36937.57,36766.86300000012,37134.49329487723,36399.23270512301,37361.68881711129,36172.037182888955,37729.31911198841,35804.406888011836,38096.94940686552,35436.776593134724,1591.695998,1307.3808844999935,40.20096012888127,70.9808523450698,51.220390177961974,7.5581167636112205,NaN,NaN,NaN
1611053280,36937.56,37180,36932.89,37039.63,36783.42850000012,37155.485411766924,36411.37158823331,37385.41658323881,36181.44041676143,37757.473495005615,35809.38350499462,38129.53040677242,35437.326593227815,1036.277257,1303.4059820499936,55.547108547259604,63.638080930829744,51.492139884833776,20.688085998235472,NaN,NaN,NaN
